Date,Game #,Away Team,Home Team,Final Score,Series Score,
May 22,89,Salt Lake City Scorpions,San Fransisco Maniacs,4-2 SF,2-1 SLC,
May 23,90,Richmond Robbers,Atlanta Cobalts,2-1 ATL,2-1 ATL,
May 24,91,Salt Lake City Scorpions,San Fransisco Maniacs,5-2 SLC,3-1 SLC,
May 25,92,Richmond Robbers,Atlanta Cobalts,1-0 ATL,3-1 ATL,
May 26,93,San Fransisco Maniacs,Salt Lake City Scorpions,5-2 SLC,4-1 SLC,
May 27,94,Atlanta Cobalts,Richmond Robbers,3-2 (OT) ATL,4-1 ATL,
May 28,95,Salt Lake City Scorpions,San Fransisco Maniacs,N/A,4-1 SLC,
May 29,96,Richmond Robbers,Atlanta Cobalts,N/A,4-1 ATL,
May 30,97,San Fransisco Maniacs,Salt Lake City Scorpions,N/A,4-1 SLC,
May 31,98,Atlanta Cobalts,Richmond Robbers,N/A,4-1 ATL,
June 3,99,Atlanta Cobalts,Salt Lake City Scorpions,4-3 SLC,1-0 SLC,
June 5,100,Atlanta Cobalts,Salt Lake City Scorpions,3-2 (OT) ATL,1-1 TIE,
June 8,101,Salt Lake City Scorpions,Atlanta Cobalts,6-1 SLC,2-1 SLC,
June 10,102,Salt Lake City Scorpions,Atlanta Cobalts,4-1 ATL,2-2 TIE,
June 13,103,Atlanta Cobalts,Salt Lake City Scorpions,4-2 SLC,3-2 SLC,
June 16,104,Salt Lake City Scorpions,Atlanta Cobalts,2-1 (OT) ATL,3-3 TIE,
June 19,105,Atlanta Cobalts,Salt Lake City Scorpions,4-0 SLC,4-3 SLC,USCTHL CHAMPS: SLC SCORPIONS!!!
