Player,AVHL ID,22-23 G,22-23 A,22-23 P,23-24 G,23-24 A,23-24 P,24-25 G,24-25 A,24-25 P,25-26 G,25-26 A,25-26 P,Total G,Total A,Total PTS
Emil Heineman,0410,0,0,0,0,0,0,0,0,0,7,8,15,7,8,15
Carson Soucy,0411,4,17,21,7,26,33,4,15,19,1,14,15,16,72,88
Tony DeAngelo,0412,3,16,19,14,35,49,10,27,37,2,8,10,29,86,115
Jean-Gabriel Pageau,0413,13,17,30,13,35,48,12,34,46,19,27,46,57,113,170
Adam Boqvist,0414,4,12,16,8,18,26,12,14,26,2,21,23,26,65,91
Anthony Duclair,0415,26,30,56,22,29,51,14,26,40,23,33,56,85,118,203
Casey Cizikas,0416,5,4,9,10,23,33,16,13,29,10,14,24,41,54,95
Calum Ritchie,0417,0,0,0,0,0,0,0,0,0,1,10,11,1,10,11
Pierre Engvall,0418,2,5,7,16,17,33,9,22,31,1,15,16,28,59,87
Ondrej Palat,0420,22,26,48,13,43,56,25,25,50,13,18,31,73,112,185
Adam Fox,0423,5,17,22,10,71,81,7,49,56,13,29,42,35,166,201
Vincent Trocheck,0424,15,22,37,22,29,51,22,39,61,36,51,87,95,141,236
J.T. Miller,0425,22,33,55,28,54,82,35,54,89,52,30,82,137,171,308
Mika Zibanejad,0426,23,24,47,29,40,69,30,37,67,29,45,74,111,146,257
Braden Schneider,0427,0,0,0,4,8,12,3,10,13,7,9,16,14,27,41
Vladislav Gavrikov,0428,2,2,4,9,16,25,3,20,23,5,25,30,19,63,82
Will Cuylle,0429,0,0,0,13,4,17,11,19,30,28,46,74,52,69,121
Alexis Lafrenière,0430,13,26,39,24,41,65,24,35,59,25,51,76,86,153,239
Will Borgen,0431,0,0,0,2,3,5,3,14,17,3,8,11,8,25,33
Taylor Raddysh,0432,0,0,0,22,19,41,15,10,25,14,26,40,51,55,106
Jonny Brodzinski,0434,0,0,0,0,0,0,13,6,19,8,25,33,21,31,52
Juuso Pärssinen,0435,0,0,0,0,0,0,6,18,24,8,18,26,14,36,50
Gabe Perreault,0436,0,0,0,0,0,0,0,0,0,10,13,23,10,13,23
Tye Kartye,0437,0,0,0,0,0,0,13,28,41,13,10,23,26,38,64
Urho Vaakanainen,0439,0,5,5,6,18,24,2,11,13,3,13,16,11,47,58
Matthew Rempe,0440,0,0,0,0,0,0,0,0,0,0,11,11,0,11,11
Vinny Iorio,0441,0,0,0,3,3,6,0,0,0,0,0,0,3,3,6
Conor Sheary,0443,13,12,25,14,22,36,9,20,29,0,0,0,36,54,90
Tim Stützle,0446,14,33,47,21,52,73,21,49,70,35,62,97,91,196,287
Brady Tkachuk,0447,7,8,15,22,38,60,24,36,60,34,26,60,87,108,195
Jake Sanderson,0448,0,0,0,5,23,28,5,16,21,7,46,53,17,85,102
Drake Batherson,0449,17,24,41,20,40,60,26,35,61,27,19,46,90,118,208
Thomas Chabot,0450,6,17,23,9,38,47,12,24,36,6,24,30,33,103,136
Claude Giroux,0451,18,17,35,29,40,69,19,19,38,27,27,54,93,103,196
Artem Zub,0452,2,21,23,9,24,33,6,21,27,12,36,48,29,102,131
Dylan Cozens,0453,28,17,45,23,42,65,21,24,45,19,44,63,91,127,218
Shane Pinto,0454,4,9,13,14,17,31,19,24,43,12,18,30,49,68,117
Jordan Spence,0455,0,0,0,0,0,0,10,22,32,7,15,22,17,37,54
Ridly Greig,0456,0,0,0,0,0,0,18,28,46,12,20,32,30,48,78
Nick Jensen,0457,0,0,0,4,16,20,2,11,13,7,13,20,13,40,53
Fabian Zetterlund,0458,0,0,0,11,16,27,18,37,55,22,31,53,51,84,135
Mike Amadio,0459,0,0,0,16,12,28,11,23,34,10,17,27,37,52,89
Warren Foegele,0460,5,13,18,17,28,45,21,27,48,21,32,53,64,100,164
Lars Eller,0461,8,25,33,10,28,38,8,26,34,18,16,34,44,95,139
Nick Cousins,0463,2,4,6,14,43,57,11,9,20,13,6,19,40,62,102
Kurtis MacDermid,0465,0,0,0,4,3,7,0,0,0,0,0,0,4,3,7
